Date,(RF) Risk-Free Return Rate (One Month Treasury Bill Rate),(MKT) Market Return,(MKT-Rf) Excess Return on the Market ,(SMB) Small-Minus-Big Return,(HML) High-Minus-Low Return,(RMW) Robust Minus Weak Return,(CMA) Conservative Minus Aggressive Return,(MOM) Momentum,Amihud LIQ,Adjusted_CPU_Daily,Close,Daily Log Return
01/03/2000,0.00021,-0.00689,-0.0071,-0.0006,-0.0141,-0.015,-0.0064,-0.0008,1.27E-14,3.415579544,1455.22,-0.009594975
01/04/2000,0.00021,-0.04039,-0.0406,0.0033,0.0206,0.0047,0.0145,-0.0191,4.98E-14,3.415579544,1399.42,-0.039099227
01/05/2000,0.00021,-0.00069,-0.0009,0.0033,0.0016,0.0041,0.0111,-0.0049,2.27E-15,3.415579544,1402.11,0.00192038
01/06/2000,0.00021,-0.00709,-0.0073,-0.0004,0.0126,0.0065,0.0121,-0.0149,1.12E-15,3.415579544,1403.45,0.000955246
01/07/2000,0.00021,0.03231,0.0321,-0.0094,-0.0142,-0.0088,-0.0096,0.0056,2.72E-14,3.415579544,1441.47,0.026729935
01/10/2000,0.00021,0.01781,0.0176,0.005,-0.0152,-0.0197,-0.0024,0.02,1.29E-14,3.415579544,1457.6,0.011127821
01/11/2000,0.00021,-0.01689,-0.0171,0.0033,0.0081,0.0082,0.0107,-0.0114,1.62E-14,3.415579544,1438.56,-0.013148634
01/12/2000,0.00021,-0.00669,-0.0069,-0.0022,0.0078,0.0042,0.0095,-0.0065,5.67E-15,3.415579544,1432.25,-0.004395979
1/13/2000,0.00021,0.01611,0.0159,0.005,-0.0091,-0.0177,-0.0104,0.0022,1.46E-14,3.415579544,1449.68,0.012096208
1/14/2000,0.00021,0.01171,0.0115,0.0026,-0.0065,-0.0031,-0.0063,0.0119,1.20E-14,3.415579544,1465.15,0.010614784
1/18/2000,0.00021,-0.00239,-0.0026,0.0229,-0.0048,-0.0147,-0.0014,0.0131,8.03E-15,3.415579544,1455.14,-0.00685551
1/19/2000,0.00021,0.00461,0.0044,0.0064,-0.0036,-0.011,0.0046,0.0084,5.93E-16,3.415579544,1455.9,0.00052215
1/20/2000,0.00021,-0.00349,-0.0037,0.0172,-0.0123,-0.0106,-0.0061,0.0176,8.06E-15,3.415579544,1445.57,-0.007120559
1/21/2000,0.00021,0.00251,0.0023,0.0125,-0.0052,-0.0132,0.0041,0.0133,3.01E-15,3.415579544,1441.36,-0.002916595
1/24/2000,0.00021,-0.02569,-0.0259,0.0141,0.0074,0.0048,0.0092,-0.0126,3.23E-14,3.415579544,1401.53,-0.028022615
1/25/2000,0.00021,0.00511,0.0049,-0.0078,-0.0009,-0.0059,-0.0063,0.0136,7.19E-15,3.415579544,1410.03,0.006046484
1/26/2000,0.00021,-0.00419,-0.0044,0.0031,0.0009,0.0035,0.0096,-0.009,4.84E-15,3.415579544,1404.09,-0.004221575
1/27/2000,0.00021,-0.00419,-0.0044,-0.0022,-0.0069,0.0015,0,-0.0067,4.50E-15,3.415579544,1398.56,-0.00394627
1/28/2000,0.00021,-0.02799,-0.0282,0.0019,0.0164,0.0101,0.0039,-0.0155,3.36E-14,3.415579544,1360.16,-0.027840796
